Oasis,Versions,File Type,
"8-20-2009 / Bridlington, England / Bridlington Spa",AUD,MP3,
"8-22-2009 / Stafford, England / V Festival",IEM,FLAC,
"8-22-2009 / Stafford, England / V Festival (thereisalight)",MTX,WAV,
"8-22-2009 / Stafford, England / V Festival (IEM patched)",IEM,FLAC,
"8-22-2009 / Stafford, England / V Festival",MTX,FLAC,
"8-28-2025 / Chicago, IL / Soldier Field (AT831s) (tapeworm48) ",AUD,FLAC 24,
"8-28-2025 / Chicago, IL / Soldier Field (SP-CMC-8) (live2cd) ",AUD,FLAC 24,
,,,
[2025],,,
"7-5-2025 / Cardiff, Wales / Principality Stadium - Countdown to Oasis Reunion (asithappens) ",WEB,TS,
"7-5-2025 / Cardiff, Wales / Principality Stadium (SP-CMC-8) (eerie_young)",AUD,FLAC 24,
"7-5-2025 / Cardiff, Wales / Principality Stadium (SP-CMC-8) (petrock2000)",AUD,FLAC,
"7-16-2025 / Manchester, England / Heaton Park (SP-CMC-8) ) (ianstanley87) (Petrock2000 remaster) ",AUD,FLAC,
"7-20-2025 / Manchester, England / Heaton Park (SP-CMC-8) (eerie_young)",AUD,FLAC 24,
"7-25-2025 / London, UK / Wembley Stadium (Primo EM182) (unk) ",AUD,FLAC 24,
"7-25-2025 / London, UK / Wembley Stadium (Custom Primo EM182) (2025 remaster) ",AUD,FLAC 24,
"8-8-2025 / Edinburgh, Scotland / Scottish Gas Murrayfield Stadium (Zoom iQ6) (lamla999)",AUD,FLAC 24,
"8-31-2025 / E. Rutherford, NJ / Metlife Stadium (Schoeps MK41s) (jb)",AUD,FLAC 24,
"9-6-2025 / Pasadena, CA / Rose Bowl (Schoeps MK4) (jlw)",AUD,FLAC,
"9-6-2025 / Pasadena, CA /- Rose Bowl (SP-CMC-4U) (ijwthstd) ",AUD,FLAC 24,
"9-7-2025 / Pasadena, CA / Rose Bowl (DPA 4061) (opsopcopolis)",AUD,FLAC 24,
"9-7-2025 / Pasadena, CA / Rose Bowl (Schoeps MK4) (jlw)",AUD,FLAC,
"10-25-2025 / Tokyo, Japan / Tokyo Dome (SP-CMC-8) (mini + popstar12345) ",AUD,FLAC,
"10-26-2025 / Tokyo, Japan / Tokyo Dome (CA-11) (mini + popstar12345)",AUD,FLAC,
"11-19-2025 / Santiago, Chile / Estadio Nacional (Zoom IQ6) (cristobalh96)",AUD,FLAC 24,
,,,
,,,
[MISC],,,
Noel Gallagher - 1989 (Pre-Oasis) Demos,,FLAC,
XX-XX-1992 / First Demo Tape,,,
XX-XX-1993 / Definitely Maybe Demos (MickDude),,FLAC,
"XX-XX-1993 / Liverpool, England / Real People Studios (Demos)",,FLAC,
7-XX-1993 / Live Forever Demo (Creation for the Nation) Promo,Silver CD,FLAC,
XX-XX-1993 / Whatever Demos,,FLAC,
XX-XX-1993 / Whatever Demos (MickDude Remaster),,FLAC,
1993 - Boardwalk Rehearsal Session,,MP3,
Definitely Maybe Safety Masters  - Whitfield Street Recording Studios (4CD),,FLAC,
Oasis - MTV Unplugged 1996,,TS,
Oasis - The Lost Tapes (KTS 561),Silver CD,FLAC,
Oasis - The Acoustic Sessions,,FLAC,
Oasis - Welcome to Planet Earth,,FLAC,
Oasis - Three Nights in a Judo Arena (Tokyo 95-98 Mix),CDR,FLAC,
Oasis - Step Into 96,Silver CD,FLAC,
Oasis - Working Class Hero (The God-like Genius of Noel Gallagher) VU200,Silver CD,FLAC,
Oasis - Supernova (Moonchild Records),Silver CD,FLAC,
Oasis - J.I.L.Y. Unreleased Live Album (2006) MFSL New Edition,Silver CD,FLAC,
Oasis - Acoustically '16 (Remastered) ,Compilation,FLAC,
Oasis - An Extraordinary Kind of Guy (Noel Live & Acoustic '97-98),Silver CD,FLAC,
Oasis - Definitive!,Silver CD,FLAC,
Oasis - The Untold Story (OACD 006),Silver CD,FLAC,
Oasis - Rags to Riches,Silver CD,FLAC,
Oasis - That's The Story,Silver CD,FLAC,
Oasis - Under The Boardwalk,Silver CD,FLAC,
Oasis - Urban Camouflage (Moonchild Records) (1998),Silver CD,FLAC,
Oasis - 2002 Champagne Gold (Moonchild Records),Silver CD,FLAC,
Standing On The Shoulder Of Giants Demos (2020 Remaster),,FLAC,
"Big Brother - Tokyo, Japan / Ebisu Liquidroom (Noel Gallagher, Gem Archer, Terry Kirkbridge) ",AUD,FLAC,
Gun (Collab with Prodigy that's on a CD called Peer Music Picks),,FLAC,
"Oasis - Lord, Don't Slow Me Down",DVD,MKV,
Oasis - Oasis at the BBC HD - BBC Two,TV,TS,
Oasis - Let There Be Love (Demo),,FLAC,
Oasis - Heathen Demostry (2002),,MP3,
,,,
,,,
[OFFICIAL RELEASES],,,
Oasis - Definitely Maybe (1994) (2014 Remastered Deluxe) (24bit),,FLAC HD,
Oasis - What's the Story Morning Glory (1995) (Deluxe_Edition 2014) (24bit) [FLAC HD],,FLAC HD,
Oasis - The Second Summer Of Love (Limited Edition),,FLAC  ,
Oasis - Stop The Clocks (2006) (EICP 685~6) ,,FLAC,
Oasis - Time Flies... 1994-2009 (2010) (SICP 2760~3),,FLAC   ,
Oasis - Supersonic (2016),,MKV,
Oasis - Be Here Now (Remastered) (2016) (24bit) ,,FLAC HD,
,,,
[SINGLES],,,
Oasis - Box Set - Complete Single Collection 94-05 (EICP 700~724) (2006),,FLAC,
EICP 700 - Supersonic,,FLAC,
EICP 701 - Shakermaker,,FLAC,
EICP 702 - Live Forever,,FLAC,
EICP 703 - Cigarettes & Alcohol,,FLAC,
EICP 704 - Whatever,,FLAC,
EICP 705 - Some Might Say,,FLAC,
EICP 706 - Roll With It,,FLAC,
EICP 707 - Morning Glory,,FLAC,
EICP 708 - Wonderwall,,FLAC,
EICP 709 - Don't Look Back In Anger,,FLAC,
EICP 710 - Champagne Supernova,,FLAC,
EICP 711 - D'You Know What I Mean,,FLAC,
EICP 712 - Stand By Me,,FLAC,
EICP 713 - All Around The World,,FLAC,
EICP 714 - Don't Go Away,,FLAC,
EICP 715 - Go Let It Out!,,FLAC,
EICP 716 - Who Feels Love,,FLAC,
EICP 717 - Sunday Morning Call,,FLAC,
EICP 718 - The Hindu Times,,FLAC,
EICP 719 - Stop Crying Your Heart Out,,FLAC,
EICP 720 - Little By Little - She Is Love,,FLAC,
EICP 721 - Songbird,,FLAC,
EICP 722 - Lyla,,FLAC,
EICP 723 - The Importance Of Being Idle,,FLAC,
EICP 724 - Let There Be Love,,FLAC,
Oasis - Don't Stop... (Demo) (2020) (Single) ,,FLAC,
,,,
[2025 TOUR ARCHIVE],,,
Oasis - 2025-07-04 - Live Cardiff - 1st Night - The Great Wait is Over {Uxbridge 2551},,FLAC,
Oasis - 2025-07-04 - Live Cardiff - 16 Years Gone {EVSD-2178.2179},,FLAC,
"Oasis - 2025-07-04,05 - Live Cardiff - The Great Wait is Over {Shakuntala, STCD 268.269.270.271}",,FLAC,
Oasis - 2025-07-05 - Live Cardiff - Sixteen Years On [EVSD-2183.2184],,FLAC,
Oasis - 2025-07-11 - Live Manchester - This Is The Place {Shakuntala STCD 272-273},,FLAC,
Oasis - 2025-07-16 - Live Manchester - Definitive Heaton Park - 3rd Night Restored Edition {Wardour-684},,FLAC,
Oasis - 2025-07-16 - Live Manchester - Stand By Manchester {EVSD-2183 2184},,FLAC,
Oasis - 2025-07-20 - Live Manchester - Definitive Heaton Park 2025 - Final Night Manchester Vibes in the Area {Wardour-685},,FLAC,
Oasis - 2025-07-20 - Live Manchester - Manchester Final {EVSD} ,,FLAC,
"Oasis - 2025-07-25 - Live Wembley Stadium - 250,000 Pints Can't Be Wrong {Wardour-689}",,FLAC,
Oasis - 2025-07-25 - Live Wembley Stadium - The Stars Have Aligned {Shakuntala STCD-276.277},,FLAC,
Oasis - 2025-07-25 - Live Wembley Stadium - Wembley Awakening {EVSD} ,,FLAC,
Oasis - 2025-07-26 - Live Wembley Stadium {Petrock2000 Remaster mexico2418},,FLAC,
Oasis - 2025-07-30 - Live Wembley Stadium - 3rd Night Historical Recording at Wembley {Wardour-686},,FLAC,
Oasis - 2025-08-02 - Live Wembley Stadium - Wembley Nights Forever {Icebreath Remaster},,FLAC,
Oasis - 2025-08-02 - LIve Wembley Stadium - Wembley Nights Forever + Wardour {Icebreath Matrix},,FLAC,
Oasis - 2025-08-03 - Live Wembley Stadium - Definitive Wembley Stadium - Final Night {Wardour-688},,FLAC,
Oasis - 2025-08-03 - Live Wembley Stadium - Wembley Nights Forever {Bennyboy Matrix Remaster EVSD},,FLAC,
Oasis - 2025-08-08 - Edinburgh 2025 - First Night {Uxbridge},,MKV,
Oasis - 2025-08-09 - Live Edinburgh - Murrayfield Stadium {The Lost History Channel},,FLAC,
Oasis - 2025-08-12 - Live Edinburgh - Murrayfield Stadium {Highland Supersonic EVSD},,FLAC,
Oasis - 2025-08-17 - Live Dublin - Croke Park {Sabrewulf},,FLAC,
Oasis - 2025-08-31 - Live East Rutherford - How The West Was Ours {Wardour-691},,FLAC,
Oasis - 2025-09-06 - Live Los Angeles - One Word Review Fabulous {Shakuntula 279-280},,FLAC,
"Oasis - 2025-09-06,07 - Definitive Rose Bowl September 2025 - Cool Britannia In the U.S.A {Wardour-694}",,FLAC,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Noel Gallagher,Versions,File Type,
Drive - F,,,
,,,
,,,
[1998],,,
"7-6-1998 / Wolverhampton, England / Civic Hall (Sony D8) (tommybagnall) ",AUD,FLAC,
,,,
[2006],,,
"11-7-2006 / Toronto, Canada / The Danforth Music Hall",FM,FLAC,
"11-15-2006 / Tokyo, Japan / Ebisu Liquidroom *The Three Sons",AUD,FLAC,
"11-26-2006 / London, UK / The Union Chapel *Sitting Here In Silence",SBD,FLAC,
"11-26-2006 / Paris, France / Live At Le Fabaret Sauvage (Noel Acoustic)",SBD,FLAC,
12-3-2006 / Manchester / The Lowery,FM,FLAC,
,,,
[2007],,,
"3-26-2007 / London, UK / The Royal Albert Hall - DAT(M) (AT831b) (johnky)",AUD,FLAC,
,,,
[2010],,,
"3-25-2010 / London, UK / Royal Albert Hall - Teenage Cancer Trust (Sony Ericsson C901) (jp zarka)",AUD,FLAC,
"3-25-2010 / London, England / Royal Albert Hall (AT898 + Icom IC-R5) (unk) ",MIX,FLAC,
,,,
[2012],,,
"8-14-2012 / London, UK / Camden",FM,FLAC,
,,,
[2015],,,
"12-7-2015 / London, England / BBC Radio Theatre",FM,FLAC,
,,,
[2023],,,
"6-3-2023 / Ridgefield, WA / RV Inn Style Resorts Amphitheater (SP-CMC-9) (robgronotte) ",AUD,FLAC,
,,,
[MISC],,,
Noel Gallagher - Another Supporting Nights (1998) White Label,Silver CD,FLAC,
,,,
,,,
,,,
,,,
Noel Gallagher's High Flying Birds,Versions,File Type,
Drive - F,,,
,,,
,,,
[2011],,,
"10-18-2011 / London, UK / The Jonathan Ross Show (NTL Box) (johnky) ",TV,FLAC,
"10-22-2011 / London, UK /- Jonathan Ross Show",TV,MKV,
"11-18-2011 / Los Angeles, CA / UCLA Royce Hall (unk)",AUD,FLAC,
"12-6-2011 / Paris, France / Casino de Paris",FM,FLAC,
,,,
[2012],,,
"1-6-2012 / London, UK / The Graham Norton Show (NTL Box) (johnky)",TV,FLAC,
"2-13-2012 / Manchester, England / Manchester Arena (ECM-CS10) (birchy)",AUD,FLAC,
"2-19-2012 / Sheffield, UK / Motorpoint Arena (Sony ECM-719) (leongti)",AUD,FLAC,
"2-28-2012 / Glasgow, Scotland / Grand Ole Opry *In Demand Uncut ",FM,FLAC,
"3-11-2012 / Munich, Germany / The Tonhalle (AT831b) (johnky)",AUD,FLAC,
"3-31-2012 / Royal Oak, MI / Royal Oak Music Theatre (CA-14s) (live2cd)",AUD,FLAC,
"4-3-2012 / Milwaukee, WI / Pabst Theater (ECM-MS9078)",AUD,FLAC,
"4-6-2012 / Atlanta, GA / Tabernacle (unk) (sjones)",AUD,FLAC,
"4-18-2012 / Phoenix, AZ / Orpheum Theatre (iPod recording mic) (dbsainz)",AUD,FLAC,
"5-23-2012 / Tokyo, Japan / Nippon Budokan *I Wanna Live In a Dream In a Judo Arena (IEM+AUD)",Silver CD,FLAC,
"7-8-2012 / Birmingham, UK / Kerrang Studios - Kerrang Radio ",FM,FLAC,
"8-25-2012 / Paris, France / Domaine National de Saint-Cloud ""Festival Rock en Seine""",FM,FLAC,
"9-4-2012 / Bournemouth, England / Bournemouth International Centre (Blue Mikey 2.0) (280981)",AUD,FLAC,
,,,
[2015],,,
"3-4-2015 / Dublin, Ireland / The 3 Arena - Midnight Dreamer (MD-699A-B)",Silver CD,FLAC,
"3-6-2015 / Nottingham, UK / Capital FM Arena (SP-CMC-8) (birchy)",AUD,FLAC,
"3-12-2015 / Paris, France / Le Zenith",TV,FLAC,
"3-24-2015 / Brussels, Belgium / Club 69",Webcast,FLAC,
"4-3+4-2015 / Seoul, South Korea / Sheraton Walker Hill Theatre *Midnight Dreamer (MD-715ABC)",Silver CD,FLAC,
"5-26-2015 / Mexico, City, Mexico / Metropolitan Theatre (Tascam DR-WL22) (edba) ",AUD,FLAC,
"12-5-2015 / Lincoln, UK / Bishop Grosseteste University ",FM,FLAC,
,,,
[2017],,,
"12-7-2017 / London, UK / Maida Vale Studios - The Jo Whiley Show (BBC Radio2)",FM,FLAC,
,,,
[2018],,,
"8-18+19-2018 / Osaka & Tokyo, Japan (X-Avel-307)",Silver CD,FLAC,
,,,
[2019],,,
7-6-2019 / Denmark / Arena / Roskilde Festival,AUD,FLAC,
"8-8-2019 / Camden, NJ / BB&T Pavilion",AUD,FLAC,
"11-27-2019 / Perth, Australia / Optus Stadium",AUD,FLAC,
,,,
[2023],,,
"6-6-2023 / Concord, CA / Concord Pavillion (Schoeps MK4) (loughney)",AUD,FLAC,
"6-6-2023 / Concord, CA / Concord Pavillion (DPA 4061s) (wilson66)",AUD,FLAC,
"6-21-2023 / West Palm Beach, FL / iTHINK Financial Amphitheatre (ECM-DS70P) (kevdogg)",AUD,FLAC,
"6-22-2023 / Tampa, FL / MidFlorida Credit Union Amphitheatre (ECM-DS70P) (kevdogg)",AUD,FLAC,
"6-24-2023 / Alpharetta, GA / Ameris Bank Amphitheatre (Tascam iM2) (jorje)",AUD,FLAC,
"7-1-2023 / London, UK / Alexandra Palace Theatre - Later with Jools Holland",TV,MKV,
"7-15-2023 / Boston, MA / MGM Music Hall at Fenway (SP-CMC-8) (farve4)",AUD,FLAC,
"7-31-2023 / London, UK / O2 Academy Bournemouth (Absolute Radio) (whatever) ",FM,FLAC,
"8-5-2023 / Essex, UK / Audley End House (Olympus LS-P5) (dfb02080)",AUD,FLAC,
"11-19-2023 / Mexico City, Mexico / Corona Capital - Autódromo Hermanos Rodríguez ",WEB,MKV,
"12-1-2023 / Tokyo, Japan / Tokyo Garden Theater (DPA 4061+IEM)",MIX,FLAC,
"12-2-2023 / Tokyo, Japan / Tokyo Garden Theater - Lullaby of Tokyo (X-Avel) {SMS-244} ",Silver CD,FLAC,
"12-4-2023 / Osaka, Japan / Festival Hall (X-Avel) {SMS-245} ",Silver CD,FLAC,
"12-17-2023 / Cardiff, Wales / Utilita Arena (inc) (Edirol R-07) (welshylad)",AUD,FLAC,
,,,
[2024],,,
"3-21-2024 / London, UK / Royal Albert Hall - Teenage Cancer Trust (Olympus LS-P5) (birchy) ",AUD,FLAC,
,,,
,,,
,,,
Liam Gallagher,Versions,File Type,
Drive - F,,,
,,,
,,,
[2017],,,
"9-22-2017 / Hamburg, Germany / Docks (NDR Blue)",FM,FLAC,
"10-7-2017 / San Bernardino, CA / Glen Helen Regional Park - Cal Jam '17",AUD,FLAC,
,,,
[2018],,,
"3-18-2018 / Santiago, Chile / Parque O'Higgins - Lollapalooza",Webcast,TS,
"6-30-2018 / Glasgow, Scotland / Glasgow Green - Main Stage TRNSMT",Webcast,TS,
,,,
[2019],,,
"7-28-2019 / London, UK / Broadcasting House - BBC Radio 1 Piano Sessions",FM,FLAC,
"8-3-2019 / England, UK / Hull City Hall - MTV Unplugged",Broadcast,TS,
"8-4-2019 / Helsinki, Finland / In the Park",AUD,FLAC,
"9-21-2019 / Manchester, UK / 02 Ritz",Broadcast,MKV,
"9-26-2019 / London, UK / Broadcasting House - The One Show",Broadcast,TS,
"10-2-2019 / London, UK / Later with Jools Holland",Broadcast,TS,
"10-11-2019 / Hollywood, CA / Hollywood Bowl",AUD,FLAC,
"10-13-2019 / Hollywood, CA / Hollywood Bowl",AUD,FLAC,
"11-11-2019 / Cardiff, Wales / Motorpoint Arena",AUD,FLAC,
"11-11-2019 / Cardiff, Wales / Motorpoint Arena",IEM,FLAC,
"11-23-2019 / Dublin, Ireland / The 3Arena",AUD,FLAC,
"11-24-2019 / Dublin, Ireland / The 3Arena",AUD,FLAC,
"11-28-2019 / London, UK / The 02 Arena",AUD,FLAC,
"12-11-2019 / Melbourne, Australia / Margaret Court",AUD,FLAC,
,,,
[2020],,,
"2-15-2020 / Rome, Italy / Palazzo Della Sport",AUD,FLAC 24,
,,,
[2022],,,
"3-26-2022 / London, UK / Royal Albert Hall - Teenage Cancer Trust (Nokia Lumia 830) (birchy)",AUD,FLAC,
"5-21-2022 / London, UK / Alexandra Place - Later With Jools Holland (NGL Digital Box) (johnky)",TV,FLAC,
"5-24-2022 / Monmouth, Wales / 48hrs At Rockfield (johnky)",TV,FLAC,
"6-3-2022 / Knebworth, England / Knebworth House (OUI FM) (whatever)",FM,FLAC,
"6-3-2022 / Knebworth, GB / Knebworth 22 (Nugs.net) ",SBD,FLAC,Official Bootleg
"6-18-2022 / LIsbon, Portugal / Parque da Bela Vista - Rock in Rio (johnky)",SBD,FLAC,
"8-14-2022 / Hasselt, Belgium / HEAR HEAR! (paulo dapper) ",Webcast,TS,
"8-19-2022 / Biddinghuizen, The Netherlands / Lowlands Festival (fool2005)",PRO,TS,
"8-27-2022 / Dublin, Ireland / Kilmainham Hospital (johnky) (petrock2000 remaster)",AUD,FLAC,
,,,
[2023],,,
"6-30-2023 / Werchter, Belgium / Rock Werchter (SP-CMC-8) (toshi)",AUD,FLAC,
"7-1-2023 / Milan, IT / Ippodromo Snai La Maura - WAV(M) (Sennheiser MM-HLSC-2) (alberto) ",AUD,FLAC 24,
"8-22-2023 / Tokyo, Japan / Summer Sonic Extra - Toyosu Pit (DPA 4061 + IEM) ",MIX,FLAC,
,,,
[2024],,,
"3-14-2024 / Wolverhampton, UK / Civic Hall (Pete Remaster) (Olympus LS-P1) (welshylad) ",AUD,FLAC,
"6-3-2024 / Cardiff, Wales / Utilita Arena (Olympus LS-P1) (unk)",AUD,FLAC,
"6-3-2024 / Cardiff, Wales / Utilita Arena Cardiff (AUD-IEM)",MIX,FLAC,
"6-3-2024 / Cardiff, Wales / Utilita Arena Cardiff (SP-CMC-8) (unk)",AUD,FLAC,
"6-7-2024 / London, UK / 02 Arena (Olympus LS-P1) (welshylad) ",AUD,FLAC,
"8-25-2024 / Reading, UK / Reading Festival, Little John's Farm (1080i) ",Webcast,MKV,
,,,
[MISC],,,
Liam Gallagher - Why Ritz Why Not (Golden Eggs 121),FM,Silver CD,
